street,candidate,link_count,full,first,last,alias,occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8,occ9,occ10,occ11,occ12,occ13,occ14,occ15,occ16,occ17,occ18,occ19,occ20,rel_born,rel_died,rel_buried,rel_edu,rel_work,district,proba
Robert-Koch-Straße,Q37193,488,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.0,Q16207454,1.0
Mozartstraße,Q254,6979,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Q1625856,1.0
Paracelsusstraße,Q83428,910,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,Q16207454,1.0
Konrad-Zuse-Ring,Q60093,264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.2,0.2,0.0,0.2,0.0,Q200528,1.0
Robert-Koch-Straße,Q37193,488,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.2,0.2,0.0,0.2,0.0,Q16045,1.0
Friedrich-Ebert-Straße,Q2646,829,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.0,0.2,Q5764545,1.0
Otto-Wels-Straße,Q61719,128,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,Q1663115,1.0
Haydnstraße,Q7349,2647,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Q3905,1.0
Mozartstraße,Q254,6979,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Q3905,1.0
Alfred-Nobel-Straße,Q23810,300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Q4074,1.0
Martin-Luther-Straße,Q9554,6883,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,Q3985,1.0
Richard-Wagner-Straße,Q1511,6010,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.0,Q1333768,1.0
Lenaustraße,Q84280,338,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Q2904,1.0
Semmelweisstraße,Q59736,107,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,Q486577,1.0
Wilhelm-Raabe-Straße,Q60647,563,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,Q177893,1.0
Konrad-Zuse-Straße,Q60093,264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.2,0.2,0.0,0.2,0.0,Q10898,1.0
Eichendorffstraße,Q77204,747,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.2,Q14888,1.0
Mozartstraße,Q254,6979,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Q19310961,1.0
