osm_id	name	street_type	wikipedia	wikidata	etymology_wikidata	etymology_wikipedia	etymology_description	local_name	geometry	name_de	name_en	name_fr	name_es	name_ru
27663284	Wülbernstraße	living_street							LINESTRING(8.5888791 53.5613715,8.5903289 53.5613327,8.5917936 53.5612643)					
27663314	Franz-Schütte-Allee	service							LINESTRING(8.9286559 53.0873148,8.9287452 53.0871859)					
27663486	Graudenzer Straße	residential							LINESTRING(8.5963953 53.5615507,8.5963992 53.5607517,8.5963989 53.5603922,8.5964034 53.5601305,8.5964241 53.558925)					
27663790	Dionysiusstraße	residential							LINESTRING(8.590962 53.5629572,8.5898013 53.5635855,8.5897075 53.5636083)					
27663828	Fritz-Reuter-Straße	residential							LINESTRING(8.5830466 53.5608102,8.5830606 53.5607456,8.5831621 53.560201,8.5835418 53.5588624)					
27663864	Fritz-Reuter-Straße	residential							LINESTRING(8.5835418 53.5588624,8.5835313 53.5583787)					
27664039	Gneisenaustraße	residential							LINESTRING(8.5700316 53.5578093,8.570036 53.557779,8.570172 53.5568495)					
27664057	Waldemar-Becké-Platz	residential							LINESTRING(8.5707021 53.5560668,8.57064 53.5560375,8.5706057 53.5560276,8.569857 53.5558203)					
27664084	Steinstraße	service							LINESTRING(8.5700316 53.5578093,8.5689014 53.5576978)					
27664142	Anton-Schumacher-Straße	residential							LINESTRING(8.5763638 53.5548153,8.5759887 53.5547216,8.575531 53.5546666,8.5748871 53.5546381,8.5743019 53.5546428,8.5733262 53.5546415,8.5731561 53.5546116,8.5723712 53.5544556,8.5717415 53.5542918,8.5712854 53.5541287)					
27664155	Emslandstraße	residential							LINESTRING(8.5769799 53.5526415,8.5771539 53.5531394,8.5772827 53.5537513,8.5774775 53.5538885)					
27664183	Preußenstraße	residential							LINESTRING(8.5760374 53.5526789,8.5760227 53.5530451,8.5759925 53.5532272,8.5759736 53.553388,8.5759515 53.5535003,8.5759127 53.553676,8.5758576 53.553866,8.5757141 53.5542606,8.575531 53.5546666)					
27664195	Oldenburger Straße	residential							LINESTRING(8.574953 53.5527165,8.57491 53.5530947,8.574829 53.5534528,8.5747422 53.5537094,8.5746384 53.5539696,8.574425 53.5544213,8.5743019 53.5546428)					
27664209	Friesenstraße	residential							LINESTRING(8.5730351 53.5554036,8.5733262 53.5546415)					
27664232	Friesenstraße	residential							LINESTRING(8.5731561 53.5546116,8.5736867 53.5535644,8.5738242 53.5530899,8.5738754 53.5527838,8.5739114 53.5527294)					
27664238	Gartenstraße	residential							LINESTRING(8.5713823 53.5536187,8.5717039 53.5534321,8.5725615 53.5525656)					
27664307	Sommerstraße	living_street							LINESTRING(8.5708318 53.5533242,8.5713823 53.5536187)					
27664316	Sommerstraße	residential							LINESTRING(8.5717895 53.5538278,8.5713823 53.5536187)					
27664426	Bürgermeister-Martin-Donandt-Platz	residential							LINESTRING(8.5733087 53.552767,8.573323 53.5526989,8.5732389 53.5525305,8.5728146 53.551605,8.5727956 53.5515618,8.5727697 53.5515326,8.5727287 53.5515091,8.5726959 53.5514937,8.5726303 53.5514685,8.5725375 53.5514574)					
27664447	Gildemeisterstraße	residential							LINESTRING(8.5733087 53.552767,8.5732615 53.5529105,8.5717895 53.5538278,8.5712854 53.5541287,8.5702458 53.554728)					
27664464	Zeppelinstraße	residential							LINESTRING(8.5749042 53.551013,8.5748783 53.5505581,8.5748169 53.5499826,8.5747335 53.5493154)					
27664494	Bogenstraße	residential							LINESTRING(8.5749042 53.551013,8.5750196 53.5510552,8.5751164 53.5510871,8.5755854 53.5512414,8.5763499 53.5513922,8.576567 53.5514372,8.576368 53.5518578,8.5769349 53.5525542,8.5769799 53.5526415)					
27664553	Grazer Straße	residential							LINESTRING(8.5737 53.5503912,8.5747335 53.5493154,8.5748196 53.5492507,8.575047 53.5489978)					
27664604	Steinstraße	residential							LINESTRING(8.5689014 53.5576978,8.5686566 53.5576478,8.5675562 53.5574492)					
27664653	Walter-Kolb-Weg	path							LINESTRING(8.5740956 53.5577242,8.5730797 53.557518,8.5714566 53.5571885)					
27664665	Pestalozzistraße	tertiary							LINESTRING(8.5746412 53.5568609,8.5749584 53.5564623,8.5757809 53.5555456)					
